"category","fulfilment","order_count","total_sales","avg_order_value","pct_of_category"
"Blouse","Amazon","692","341361.0","522.76","74.73"
"Blouse","Merchant","234","117047.18000000002","513.36","25.27"
"Bottom","Amazon","248","86159.0","365.08","56.36"
"Bottom","Merchant","192","64508.979999999996","350.59","43.64"
"Dupatta","Amazon","3","915.0","305.0","100.0"
"Ethnic Dress","Amazon","848","581747.0","730.84","73.17"
"Ethnic Dress","Merchant","311","209470.65999999997","705.29","26.83"
"Saree","Amazon","132","98584.0","795.03","80.49"
"Saree","Merchant","32","25349.760000000002","817.73","19.51"
"Set","Amazon","35548","2.7636955E7","838.04","70.69"
